krr_sigma,krr_lambda,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,meta_coef_krr,meta_coef_xgb,meta_intercept
81.92,0.001,0.1,3,200,0.07389526562970876,0.9864958153160465,-0.04245819916445703
2.56,0.001,0.1,5,200,0.24315177531751483,0.6969766157168428,0.04992371806321694
40.96,0.001,0.1,3,200,0.2961893538982585,0.7350486939122874,-0.013895939408034907
327.68,1e-05,0.1,3,200,0.3749058568008768,0.6186025502828343,0.0009951471093969655
40.96,0.001,0.1,5,200,0.5418493452586797,0.4479946091981237,-0.0017909423010191716
81.92,0.001,0.1,3,200,0.23504922797910202,0.7309952820537482,0.0220361129379828
40.96,0.001,0.1,5,200,0.9245914541975909,0.0994904038324212,-0.03375805084607586
40.96,0.001,0.1,5,200,-0.002623497511596141,1.0690797660550777,-0.06546702166856966
81.92,0.001,0.1,5,200,0.6032837737520381,0.42573610298278775,-0.024556834774532188
40.96,0.001,0.1,5,200,0.08210997022469294,0.9333887670738769,-0.008450158684635944
81.92,0.001,0.1,5,200,0.3522905505528704,0.6301431572215808,0.02544011497860832
5242.88,1e-07,0.1,5,200,0.198915221532916,0.7662581977538487,0.04866564325455047
